time,index,action,floors_before,floors_after,landuse_before,landuse_after,condition_before,condition_after,added_floors,demo_flag
8,3,NoChange,4,4,1,1,0.7583836065172217,0.758574132390751,0,
9,3,AddFloors,4,5,1,1,0.758574132390751,0.7471851614874176,1,
10,3,NoChange,5,5,1,1,0.7471851614874176,0.7491133421020572,0,
1,4,NoChange,2,2,1,1,0.8,0.8019177685672226,0,
2,4,NoChange,2,2,1,1,0.8019177685672226,0.7969460509668589,0,
3,4,NoChange,2,2,1,1,0.7969460509668589,0.8057946681944551,0,
4,4,NoChange,2,2,1,1,0.8057946681944551,0.7980857030541288,0,
5,4,NoChange,2,2,1,1,0.7980857030541288,0.803103259045961,0,
6,4,NoChange,2,2,1,1,0.803103259045961,0.7999067685065819,0,
7,4,NoChange,2,2,1,1,0.7999067685065819,0.7930699235934753,0,
8,4,AddFloors,2,4,1,1,0.7930699235934753,0.7618284529972572,2,
9,4,NoChange,4,4,1,1,0.7618284529972572,0.7554014906078599,0,
10,4,NoChange,4,4,1,1,0.7554014906078599,0.7628118620045953,0,
1,5,NoChange,4,4,1,1,0.9,0.9027789898973201,0,
2,5,NoChange,4,4,1,1,0.9027789898973201,0.8958357752683128,0,
3,5,NoChange,4,4,1,1,0.8958357752683128,0.8966233558707053,0,
4,5,NoChange,4,4,1,1,0.8966233558707053,0.8972304293146088,0,
5,5,AddFloors,4,5,1,1,0.8972304293146088,0.8821164863948983,1,
6,5,NoChange,5,5,1,1,0.8821164863948983,0.8882519824908408,0,
7,5,NoChange,5,5,1,1,0.8882519824908408,0.8830694143397855,0,
8,5,NoChange,5,5,1,1,0.8830694143397855,0.8746445553056128,0,
9,5,NoChange,5,5,1,1,0.8746445553056128,0.8809650203740146,0,
10,5,NoChange,5,5,1,1,0.8809650203740146,0.8816191437646049,0,
1,6,NoChange,4,4,1,1,1.0,1.0,0,
2,6,NoChange,4,4,1,1,1.0,0.9933025391794825,0,
3,6,NoChange,4,4,1,1,0.9933025391794825,0.9954344175291351,0,
4,6,NoChange,4,4,1,1,0.9954344175291351,1.0,0,
5,6,NoChange,4,4,1,1,1.0,1.0,0,
6,6,NoChange,4,4,1,1,1.0,0.9979798459999486,0,
7,6,NoChange,4,4,1,1,0.9979798459999486,0.9954482560505344,0,
8,6,NoChange,4,4,1,1,0.9954482560505344,0.994477978878357,0,
9,6,NoChange,4,4,1,1,0.994477978878357,0.9857584968048839,0,
10,6,AddFloors,4,6,1,1,0.9857584968048839,0.9480596441308496,2,
1,7,AddFloors,2,4,1,1,0.8,0.7605887376687632,2,
2,7,NoChange,4,4,1,1,0.7605887376687632,0.760871860064935,0,
3,7,NoChange,4,4,1,1,0.760871860064935,0.7605801500479449,0,
4,7,NoChange,4,4,1,1,0.7605801500479449,0.7650472013655643,0,
5,7,NoChange,4,4,1,1,0.7650472013655643,0.7665714343599822,0,
6,7,NoChange,4,4,1,1,0.7665714343599822,0.7660308932188741,0,
7,7,NoChange,4,4,1,1,0.7660308932188741,0.7579174091487118,0,
8,7,NoChange,4,4,1,1,0.7579174091487118,0.7550033604805029,0,
9,7,NoChange,4,4,1,1,0.7550033604805029,0.762280095447895,0,
10,7,AddFloors,4,6,1,1,0.762280095447895,0.7321217475615546,2,
1,8,NoChange,5,5,1,1,1.0,1.0,0,
2,8,NoChange,5,5,1,1,1.0,0.9938041781688163,0,
3,8,NoChange,5,5,1,1,0.9938041781688163,0.9922418109655043,0,
4,8,NoChange,5,5,1,1,0.9922418109655043,0.9872379399231463,0,
5,8,NoChange,5,5,1,1,0.9872379399231463,0.9861005548242154,0,
6,8,NoChange,5,5,1,1,0.9861005548242154,0.9871070610732124,0,
7,8,AddFloors,5,7,1,1,0.9871070610732124,0.955467336924012,2,
8,8,NoChange,7,7,1,1,0.955467336924012,0.9624412516122981,0,
9,8,NoChange,7,7,1,1,0.9624412516122981,0.9621540741213125,0,
10,8,NoChange,7,7,1,1,0.9621540741213125,0.9601748799723016,0,
1,9,AddFloors,6,7,1,1,1.0,0.9800215537835143,1,
2,9,NoChange,7,7,1,1,0.9800215537835143,0.9857241409193968,0,
